cnt,temp,hum,windspeed
16,0.24,0.81,0.0
40,0.22,0.8,0.0
32,0.22,0.8,0.0
13,0.24,0.75,0.0
1,0.24,0.75,0.0
1,0.24,0.75,0.0896
2,0.22,0.8,0.0
3,0.2,0.86,0.0
8,0.24,0.75,0.0
14,0.32,0.76,0.0
36,0.38,0.76,0.2537
56,0.36,0.81,0.2836
84,0.42,0.77,0.2836
94,0.46,0.72,0.2985
106,0.46,0.72,0.2836
110,0.44,0.77,0.2985
93,0.42,0.82,0.2985
67,0.44,0.82,0.2836
35,0.42,0.88,0.2537
37,0.42,0.88,0.2537
36,0.4,0.87,0.2537
34,0.4,0.87,0.194
28,0.4,0.94,0.2239
39,0.46,0.88,0.2985
17,0.46,0.88,0.2985
17,0.44,0.94,0.2537
9,0.42,1.0,0.2836
6,0.46,0.94,0.194
3,0.46,0.94,0.194
2,0.42,0.77,0.2985
1,0.4,0.76,0.194
8,0.4,0.71,0.2239
20,0.38,0.76,0.2239
53,0.36,0.81,0.2239
70,0.36,0.71,0.2537
93,0.36,0.66,0.2985
75,0.36,0.66,0.1343
59,0.36,0.76,0.194
74,0.34,0.81,0.1642
76,0.34,0.71,0.1642
65,0.34,0.57,0.194
53,0.36,0.46,0.3284
30,0.32,0.42,0.4478
22,0.3,0.39,0.3582
31,0.26,0.44,0.3284
9,0.24,0.44,0.2985
8,0.22,0.47,0.1642
5,0.22,0.44,0.3582
2,0.2,0.44,0.4179
1,0.16,0.47,0.3881
3,0.16,0.47,0.2836
30,0.14,0.5,0.3881
64,0.14,0.5,0.194
154,0.14,0.5,0.2836
88,0.16,0.43,0.3881
44,0.18,0.43,0.2537
51,0.2,0.4,0.3284
61,0.22,0.35,0.2985
61,0.24,0.35,0.2836
77,0.26,0.3,0.2836
72,0.26,0.3,0.2537
76,0.26,0.3,0.2537
157,0.24,0.3,0.2239
157,0.24,0.32,0.1045
110,0.2,0.47,0.0
52,0.2,0.47,0.1045
52,0.18,0.64,0.1343
20,0.14,0.69,0.1343
12,0.18,0.55,0.1045
5,0.16,0.55,0.1045
2,0.16,0.59,0.1045
1,0.14,0.63,0.1343
2,0.14,0.63,0.0896
4,0.12,0.68,0.1045
36,0.12,0.74,0.1045
94,0.12,0.74,0.1343
179,0.14,0.69,0.1642
100,0.16,0.64,0.2239
42,0.16,0.69,0.3284
57,0.22,0.51,0.2985
78,0.22,0.51,0.1642
97,0.24,0.56,0.194
63,0.26,0.52,0.2239
65,0.28,0.52,0.2537
83,0.3,0.49,0.2537
212,0.28,0.48,0.2239
182,0.26,0.48,0.194
112,0.24,0.48,0.1045
54,0.24,0.48,0.1045
48,0.22,0.64,0.0
35,0.22,0.64,0.0896
11,0.2,0.69,0.0896
6,0.2,0.64,0.0
6,0.16,0.74,0.0896
2,0.16,0.74,0.0896
2,0.24,0.48,0.2239
3,0.22,0.47,0.1642
33,0.2,0.47,0.2239
88,0.18,0.43,0.194
195,0.2,0.4,0.2985
115,0.22,0.37,0.3284
57,0.22,0.37,0.3284
46,0.26,0.33,0.3284
79,0.26,0.33,0.3284
71,0.28,0.3,0.2985
62,0.3,0.28,0.194
62,0.3,0.28,0.194
89,0.3,0.28,0.0896
190,0.24,0.38,0.194
169,0.24,0.38,0.1343
132,0.24,0.38,0.1045
89,0.22,0.47,0.1642
43,0.2,0.51,0.194
42,0.18,0.55,0.1343
19,0.2,0.47,0.0
11,0.18,0.55,0.0
4,0.16,0.64,0.0
2,0.16,0.64,0.0
1,0.16,0.64,0.0896
4,0.14,0.69,0.0896
36,0.14,0.63,0.1045
95,0.16,0.59,0.0
219,0.16,0.59,0.0
122,0.18,0.51,0.0
45,0.2,0.47,0.0
59,0.22,0.44,0.0896
84,0.26,0.35,0.0
67,0.26,0.35,0.1045
70,0.28,0.36,0.1642
62,0.28,0.36,0.0
86,0.26,0.38,0.1642
172,0.22,0.51,0.1642
163,0.22,0.51,0.1343
112,0.22,0.55,0.0896
69,0.2,0.51,0.1642
48,0.22,0.55,0.2239
52,0.22,0.51,0.2836
23,0.2,0.59,0.194
17,0.2,0.64,0.194
7,0.2,0.69,0.2239
1,0.2,0.69,0.2239
1,0.2,0.69,0.1343
5,0.22,0.55,0.0
34,0.2,0.69,0.0
84,0.2,0.69,0.1343
210,0.2,0.51,0.2537
134,0.2,0.47,0.2985
63,0.22,0.37,0.3284
67,0.2,0.4,0.2239
59,0.2,0.37,0.2537
73,0.2,0.37,0.2836
50,0.2,0.4,0.2537
72,0.2,0.37,0.1642
87,0.2,0.37,0.1642
187,0.2,0.37,0.0
123,0.2,0.4,0.0896
95,0.16,0.55,0.0896
51,0.18,0.47,0.1045
39,0.18,0.47,0.1343
36,0.18,0.43,0.1642
15,0.18,0.51,0.1642
25,0.18,0.51,0.1642
16,0.18,0.55,0.0896
16,0.18,0.55,0.0
7,0.18,0.55,0.1642
1,0.18,0.55,0.1642
5,0.16,0.74,0.1642
2,0.16,0.74,0.1642
9,0.16,0.74,0.1045
15,0.16,0.93,0.1045
20,0.16,0.93,0.1045
61,0.18,0.8,0.1642
62,0.2,0.69,0.3881
98,0.2,0.59,0.3582
102,0.2,0.44,0.3284
95,0.2,0.32,0.4925
74,0.2,0.32,0.4478
76,0.18,0.29,0.4478
69,0.16,0.37,0.5522
55,0.14,0.39,0.2985
30,0.14,0.36,0.2537
28,0.12,0.36,0.2537
37,0.12,0.39,0.3582
34,0.12,0.36,0.3881
22,0.1,0.39,0.4478
25,0.1,0.42,0.3881
12,0.1,0.42,0.4627
11,0.1,0.46,0.4627
4,0.1,0.46,0.4179
1,0.08,0.53,0.194
1,0.08,0.53,0.194
1,0.1,0.49,0.2836
6,0.08,0.53,0.194
10,0.1,0.49,0.2836
19,0.12,0.46,0.5224
49,0.14,0.43,0.3881
49,0.16,0.4,0.5224
83,0.18,0.37,0.4478
75,0.2,0.34,0.4478
72,0.22,0.32,0.4627
82,0.22,0.35,0.3582
92,0.2,0.34,0.4478
62,0.18,0.37,0.3881
48,0.16,0.4,0.3284
41,0.16,0.43,0.3284
38,0.14,0.46,0.2537
20,0.14,0.46,0.4179
15,0.14,0.46,0.2985
6,0.12,0.5,0.194
5,0.12,0.5,0.2836
1,0.12,0.5,0.2836
3,0.12,0.5,0.2239
1,0.12,0.5,0.2239
3,0.1,0.54,0.1343
3,0.1,0.54,0.2537
31,0.12,0.5,0.2836
77,0.12,0.5,0.2239
188,0.12,0.5,0.2836
94,0.14,0.5,0.2537
31,0.14,0.5,0.2985
30,0.16,0.47,0.2836
52,0.2,0.4,0.2836
54,0.2,0.4,0.2836
47,0.2,0.4,0.2239
45,0.2,0.4,0.2239
74,0.2,0.4,0.1343
178,0.2,0.4,0.1045
155,0.2,0.4,0.2239
95,0.16,0.47,0.1642
74,0.16,0.5,0.1642
38,0.14,0.59,0.194
24,0.14,0.59,0.1642
18,0.14,0.59,0.1642
12,0.14,0.59,0.1045
3,0.14,0.59,0.1642
3,0.16,0.55,0.194
6,0.16,0.55,0.1343
27,0.16,0.55,0.1343
99,0.16,0.55,0.0
217,0.18,0.51,0.0896
130,0.18,0.51,0.1642
54,0.2,0.51,0.1642
35,0.2,0.47,0.1343
57,0.2,0.51,0.1045
52,0.2,0.59,0.0896
63,0.2,0.59,0.0896
47,0.16,0.8,0.0896
76,0.16,0.86,0.2239
136,0.16,0.86,0.2239
95,0.16,0.93,0.1045
51,0.16,0.93,0.0
32,0.16,0.93,0.194
20,0.16,0.86,0.0896
29,0.16,0.93,0.1045
19,0.16,0.93,0.0896
7,0.16,0.86,0.0896
6,0.16,0.86,0.1045
1,0.14,0.86,0.1343
5,0.14,0.86,0.1642
16,0.12,0.93,0.1343
54,0.14,0.69,0.1343
128,0.16,0.59,0.1642
81,0.16,0.59,0.3284
39,0.18,0.55,0.2239
35,0.2,0.51,0.3881
55,0.2,0.47,0.5821
49,0.22,0.44,0.3582
44,0.2,0.47,0.3284
49,0.2,0.47,0.4179
68,0.22,0.44,0.3284
139,0.2,0.47,0.3582
137,0.2,0.47,0.5224
83,0.18,0.47,0.4179
56,0.16,0.5,0.3284
57,0.16,0.55,0.3284
33,0.16,0.55,0.4478
20,0.14,0.59,0.4179
7,0.14,0.59,0.2836
2,0.14,0.5,0.2836
2,0.14,0.5,0.3582
3,0.14,0.5,0.3284
4,0.14,0.5,0.2537
3,0.14,0.5,0.2985
28,0.12,0.54,0.1343
72,0.12,0.54,0.1343
202,0.14,0.5,0.194
139,0.14,0.5,0.3284
38,0.16,0.5,0.3582
37,0.2,0.44,0.4478
52,0.2,0.44,0.4179
83,0.22,0.41,0.4478
42,0.22,0.41,0.3881
60,0.24,0.38,0.2985
78,0.24,0.38,0.3582
