series_id,n_train,blocked,forecastability_class,recommended_families,triage_model,smape_triage,smape_naive,mase_triage,mase_naive,smape_arima,mase_arima,smape_ets,mase_ets,oracle_model,triage_matches_oracle,route_type,triage_wins,error
M11451,84,False,high,naive|seasonal_naive|downscope,SeasonalNaive,1.337548745960084,1.337548745960084,0.7012987012987012,0.7012987012987012,1.186652243915578,0.626929368777149,1.2025868886562994,0.6351276517663728,AutoARIMA,False,naive_routed,False,
M12091,288,False,high,seasonal_naive|harmonic_regression|tbats,ETS,1.451750691791228,2.2296296029308187,0.7707200150733235,1.175974187143212,0.6338653307653407,0.3398136286564682,1.451750691791228,0.7707200150733235,AutoARIMA,False,complex_routed,True,
M12223,288,False,high,seasonal_naive|harmonic_regression|tbats,ETS,1.4652651198283537,2.020697924622764,0.9019389330854276,1.2366425080060677,0.4368839873524126,0.27037812750340884,1.4652651198283537,0.9019389330854276,AutoARIMA,False,complex_routed,True,
M12493,288,False,high,seasonal_naive|harmonic_regression|tbats,ETS,1.0914168571896083,2.439638075378749,0.46757808972230835,1.0318658280922433,0.46612078665875056,0.19930421410275692,1.0914168571896083,0.46757808972230835,AutoARIMA,False,complex_routed,True,
M12794,84,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,3.054919474143443,1.5864180895615574,0.8866538034499131,0.4562965948015307,3.054919474143443,0.8866538034499131,3.294116010794532,0.9568838320726702,SeasonalNaive,False,complex_routed,False,
M12896,156,False,high,arima|ets|linear_state_space,AutoARIMA,2.6432460174042096,5.470167311338377,0.529187888728112,1.071917808219178,2.6432460174042096,0.529187888728112,2.5278559353085166,0.5064965192746719,ETS,False,complex_routed,True,
M12988,288,False,high,seasonal_naive|harmonic_regression|tbats,ETS,1.131351947746482,0.7749719260027462,0.5946827137229196,0.4049787492410444,0.8871266135375431,0.46530284224387325,1.131351947746482,0.5946827137229196,SeasonalNaive,False,complex_routed,False,
M13049,288,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,1.9170074636336676,12.06683010132671,0.959637960982042,5.718639717677254,1.9170074636336676,0.959637960982042,6.523900973577579,3.195106582740169,AutoARIMA,True,complex_routed,True,
M13153,84,False,high,seasonal_naive|harmonic_regression|tbats,ETS,2.521681033274761,2.184622390361461,0.8720502102217159,0.7556818181818182,2.521502152397825,0.8719892813564539,2.521681033274761,0.8720502102217159,SeasonalNaive,False,complex_routed,False,
M14279,254,False,high,arima|ets|linear_state_space,AutoARIMA,7.588033926981902,10.894709545073376,2.1432206787079355,3.0191444057297714,7.588033926981902,2.1432206787079355,5.117869428197476,1.4637437143040217,ETS,False,complex_routed,True,
M14341,164,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,110.24164319081753,97.590607190723,7.781629170508428,5.720557394016152,110.24164319081753,7.781629170508428,102.77949347957099,6.5041825019976915,SeasonalNaive,False,complex_routed,False,
M14734,265,False,high,tree_on_lags|tcn|nbeats|nhits,AutoARIMA,4.908647742134361,5.204019710185101,0.7612436163550469,0.8060727395206032,4.908647742134361,0.7612436163550469,4.1695255240143645,0.6505894427577057,ETS,False,complex_routed,True,
