source,lag,target,mi_value
driver_redundant,1,driver_redundant,1.605303212529892
target,1,target,1.4362994889742335
driver_redundant,2,driver_redundant,1.1250235407068798
target,2,target,0.9102569422325741
driver_mediated,1,driver_mediated,0.8915529088951946
driver_redundant,3,driver_redundant,0.8329132020781387
driver_mediated,2,target,0.7170985061981563
driver_mediated,3,target,0.7095039178229658
driver_redundant,1,target,0.6583627602243691
driver_redundant,4,driver_redundant,0.6485800264854982
target,1,driver_redundant,0.6290736075649903
driver_mediated,1,target,0.6270067739054594
target,3,target,0.5976058396092414
driver_mediated,4,target,0.593032120515308
driver_redundant,2,target,0.5784212813834726
driver_direct,2,driver_mediated,0.5507922455961376
target,2,driver_redundant,0.5449671112424941
driver_mediated,2,driver_mediated,0.5344587765733708
driver_direct,4,target,0.5161219082314039
driver_direct,1,driver_direct,0.515562170054956
driver_redundant,5,driver_redundant,0.5098989151904885
driver_direct,5,target,0.5054571029685802
driver_direct,3,driver_mediated,0.5004729470135931
driver_direct,1,driver_mediated,0.4832759441027896
target,3,driver_redundant,0.4735893257164694
driver_mediated,5,target,0.4544389070167334
driver_mediated,1,driver_redundant,0.4471885434459333
driver_redundant,3,target,0.4470451872299801
driver_mediated,2,driver_redundant,0.4409039066470344
driver_mediated,3,driver_redundant,0.43831070480631595
driver_direct,3,target,0.4207971098277019
target,4,target,0.41121206296974844
driver_mediated,4,driver_redundant,0.40074747561907653
driver_direct,4,driver_redundant,0.3982369043784093
driver_direct,5,driver_redundant,0.39559920474876176
target,4,driver_redundant,0.3849701739345548
driver_redundant,4,target,0.36533245635261213
driver_direct,3,driver_redundant,0.36325116033046534
driver_direct,4,driver_mediated,0.3631654227724255
driver_nonlin_sq,1,driver_nonlin_sq,0.35394794795811
driver_mediated,5,driver_redundant,0.35113236927634706
driver_mediated,3,driver_mediated,0.3314633075735385
target,5,driver_redundant,0.31623590191456596
driver_redundant,1,driver_mediated,0.3131013524209374
target,1,driver_mediated,0.3065733435639695
target,5,target,0.30535789612704356
driver_direct,2,driver_direct,0.2971470797707054
driver_direct,2,target,0.2967498786666969
driver_redundant,5,target,0.2807716904891766
driver_direct,2,driver_redundant,0.2628552605705208
driver_direct,5,driver_mediated,0.2589949728288019
driver_redundant,2,driver_mediated,0.23422979728619708
target,2,driver_mediated,0.23052426827810368
driver_mediated,4,driver_mediated,0.2264390994739207
driver_contemp,1,driver_contemp,0.21991233399134114
driver_direct,1,driver_redundant,0.20038807918784673
driver_direct,1,target,0.17596375375295015
driver_mediated,1,driver_direct,0.15935063983728437
driver_direct,3,driver_direct,0.15563666860807057
target,3,driver_mediated,0.15495407374812764
driver_redundant,3,driver_mediated,0.14460312581572676
driver_mediated,5,driver_mediated,0.14385901936029288
driver_nonlin_abs,1,driver_nonlin_abs,0.12764695507052704
target,4,driver_mediated,0.12697397455883586
driver_nonlin_sq,2,driver_nonlin_sq,0.12229920976146236
driver_noise,1,driver_noise,0.11281615078039575
driver_redundant,4,driver_mediated,0.10614407677540161
driver_direct,4,driver_direct,0.09663841074985857
driver_mediated,2,driver_direct,0.08402992365197015
target,5,driver_mediated,0.08367127549322806
driver_redundant,5,driver_mediated,0.08147147929927723
driver_redundant,1,driver_direct,0.07513595178807897
driver_contemp,2,driver_contemp,0.06930469995696509
driver_mediated,3,driver_direct,0.06331831676324295
driver_nonlin_sq,2,target,0.057172980053767475
driver_direct,5,driver_direct,0.05664700369724418
driver_nonlin_sq,3,driver_nonlin_sq,0.05178582103938556
target,1,driver_direct,0.05155876225243983
